Bezeichnung,Vom,Bis,Durchführungstage,Postleitzahl,Ort
Budenzauber Emsland ,2/ Jan/,2/ Jan/,1,49808,Lingen
VGH-Cup LokHalle Göttingen,7/ Jan/,10/ Jan/,4,37081,Göttingen
Berufsinformationsmarkt Gymansium Corvinianum ,9/ Jan/,9/ Jan/,1,37154,Northeim
Messe Let's Care 2016,12/ Jan/,14/ Jan/,3,22457,Hamburg
Markt der Möglichkeiten,14/ Jan/,14/ Jan/,1,31134,Hildesheim
Ausbildungsbörse Lüneburg-Uelzen,16/ Jan/,16/ Jan/,1,21301,Lüneburg
Messe Jobmesse Hamburg,16/ Jan/,17/ Jan/,2,22267,Hamburg
Hochzeitsmesse Kiel,16/ Jan/,17/ Jan/,2,24106,Kiel
Elterntag im BIZ,16/ Jan/,16/ Jan/,1,26122,Oldenburg
Schulvortrag,20/ Jan/,20/ Jan/,1,24937,Flensburg
Schule & Karriere Gymnasium Julianum ,20/ Jan/,20/ Jan/,1,33850,Helmstedt
Ali-Börse,20/ Jan/,20/ Jan/,1,30455,Hannover
BIT KGS Schwarmstedt,20/ Jan/,20/ Jan/,1,29690,Schwarmstedt
Marktplatz der Berufe KGS Hemmingen,20/ Jan/,20/ Jan/,1,30966,Hemmingen
Schulvortrag,20/ Jan/,20/ Jan/,1,38350,Helmstedt
Chance Azubi Wiesmoor,21/ Jan/,21/ Jan/,1,26639,Wiesmoor
OBIT KGS Schwarmstedt,21/ Jan/,21/ Jan/,1,29690,Schwarmstedt
Berufsorientierung Angela Schule,21/ Jan/,21/ Jan/,1,49080,Osnabrück
Schulvortrag,21/ Jan/,21/ Jan/,1,30161,Hannover
Schulvortrag,21/ Jan/,21/ Jan/,1,26639,Wiesmoor
Schuleinsatz Friedegart-Belusa-Gemeinschaftsschule,22/ Jan/,22/ Jan/,1,21514,Büchen
Schulvortrag,22/ Jan/,22/ Jan/,1,37176,Nörten-Hardenberg
Schulvortrag,22/ Jan/,22/ Jan/,1,29221,Celle
Ausbildungsbörse Buchholz,23/ Jan/,23/ Jan/,1,21244,Buchholz
Eltern- und Schülertag BIZ BS,23/ Jan/,23/ Jan/,1,38118,Braunschweig
Rotary Kiel,25/ Jan/,25/ Jan/,1,24103,Kiel
BIZ Informationsvortrag,26/ Jan/,26/ Jan/,1,38440,Wolfsburg
Schulvortrag,26/ Jan/,26/ Jan/,1,22043,Hamburg
Schulvortrag,26/ Jan/,26/ Jan/,1,26954,Nordenham
Schulvortrag,27/ Jan/,27/ Jan/,1,22395,Hamburg
Schulvortrag,27/ Jan/,27/ Jan/,1,22145,Hamburg
TEUTLOFF Informationstag,28/ Jan/,28/ Jan/,1,38122,Braunschweig
Schulvortrag,28/ Jan/,29/ Jan/,2,29690,Schwarmstedt
Studieninformationstag BIS BS,29/ Jan/,29/ Jan/,1,38118,Braunschweig
Schulvortrag,29/ Jan/,29/ Jan/,1,24837,Schleswig
Schulvortrag,1/ Feb/,1/ Feb/,1,22143,Hamburg
Schulvortrag,1/ Feb/,1/ Feb/,1,37574,Einbeck
BOT Ricarda-Huch-Schule,2/ Feb/,2/ Feb/,1,38106,Braunschweig
Berufeparcours IGS Wedemark,2/ Feb/,4/ Feb/,3,30900,Wedemark
Schulvortrag,2/ Feb/,2/ Feb/,1,38106,Braunschweig
Schulvortrag,2/ Feb/,2/ Feb/,1,31139,Hildesheim
Von der Schule zum Beruf,4/ Feb/,4/ Feb/,1,21379,Scharnebeck
BIZ Informationsvortrag,4/ Feb/,4/ Feb/,1,38118,Braunschweig
HIT Hameln,4/ Feb/,4/ Feb/,1,31785,Hameln
Arbeitgeberabend OBS Bückeburg,4/ Feb/,4/ Feb/,1,31675,Bückeburg
Rotary Eutin,4/ Feb/,4/ Feb/,1,23701,Eutin
Schulvortrag,4/ Feb/,4/ Feb/,1,37085,Göttingen
Messe Abi-Zukunft Hildesheim,5/ Feb/,5/ Feb/,1,31134,Hildesheim
