Bezeichnung,Zeitraum,von - bis,Durchführungstage,Postleitzahl,Ort
BKA ,11/ Jan/,13/ Jan/,3,89267,Illertissen
Informationsveranstaltung,11/ Jan/,14/ Jan/,4,89257,Illertissen
Berufs- und Studieninformationstag,12/ Jan/,12/ Jan/,1,92224,Amberg
Berufsinfoabend ,13/ Jan/,13/ Jan/,1,87700,Memmingen
Informationsveranstaltung,13/ Jan/,13/ Jan/,1,87700,Memmingen
Informationsveranstaltung,14/ Jan/,14/ Jan/,1,91717,Wassertrüdingen
Informationsveranstaltung,14/ Jan/,14/ Jan/,1,94327,Bogen
Informationsveranstaltung,14/ Jan/,14/ Jan/,1,93083,Obertraubling
Informationsveranstaltung,15/ Jan/,15/ Jan/,1,97616,Bad Neustadt
Informationsveranstaltung,16/ Jan/,16/ Jan/,1,93073,Neutraubling
Informationsveranstaltung,18/ Jan/,18/ Jan/,1,91564,Neuendettelsau
Informationsveranstaltung,18/ Jan/,18/ Jan/,1,81735,München
BKA ,18/ Jan/,21/ Jan/,4,86159,Augsburg
Informationsveranstaltung,18/ Jan/,21/ Jan/,4,86161,Augsburg
Berufsinformationsabend ,19/ Jan/,19/ Jan/,1,83022,Rosenheim
Informationsveranstaltung,19/ Jan/,19/ Jan/,1,86633,Neuburg
Berufsinfomesse,20/ Jan/,20/ Jan/,1,83104,Tuntenhausen
Informationsveranstaltung,20/ Jan/,20/ Jan/,1,96106,Ebern
Informationsveranstaltung,20/ Jan/,20/ Jan/,1,97422,Schweinfurt
Berufsinformationstag ,21/ Jan/,21/ Jan/,1,82319,Starnberg
Berufsinformationsabend ,21/ Jan/,21/ Jan/,1,83703,Gmund
Informationsveranstaltung,21/ Jan/,21/ Jan/,1,86633,Neuburg
Informationsveranstaltung,22/ Jan/,22/ Jan/,1,97453,Schonungen
Berufsmesse ,23/ Jan/,23/ Jan/,1,96106,Ebern
Berufsinformationstag ,23/ Jan/,23/ Jan/,1,82291,Mammendorf
5. Informationstag Beruf & Studium,23/ Jan/,23/ Jan/,1,83471,Berchtesgaden
